Elev(feet),Cap(acre-ft),Area(acres),
4078,0,0,Cell2
4078.1,0.024,0.081,Cell2
4078.2,0.037,0.236,Cell2
4078.3,0.072,0.565,Cell2
4078.4,0.149,1.091,Cell2
4078.5,0.288,1.852,Cell2
4078.6,0.508,2.671,Cell2
4078.7,0.796,3.155,Cell2
4078.8,1.119,3.49,Cell2
4078.9,1.476,3.798,Cell2
4079,1.862,4.125,Cell2
4079.1,2.284,4.527,Cell2
4079.2,2.751,5.057,Cell2
4079.3,3.278,5.765,Cell2
4079.4,3.886,6.762,Cell2
4079.5,4.609,8.062,Cell2
4079.6,5.467,9.517,Cell2
4079.7,6.476,10.982,Cell2
4079.8,7.626,12.394,Cell2
4079.9,8.916,13.817,Cell2
4080,10.382,16.658,Cell2
4080.1,12.406,26.614,Cell2
4080.2,15.869,45.656,Cell2
4080.3,21.999,84.21,Cell2
4080.4,33.397,154.903,Cell2
4080.5,53.655,259.432,Cell2
4080.6,85.665,383.057,Cell2
4080.7,128.56,459.809,Cell2
4080.8,176.802,501.383,Cell2
4080.9,228.767,537.577,Cell2
4081,284.414,578.686,Cell2
4081.1,344.568,626.855,Cell2
4081.2,409.744,679.127,Cell2
4081.3,480.075,728.42,Cell2
4081.4,554.973,770.014,Cell2
4081.5,633.691,805.794,Cell2
4081.6,715.786,837.657,Cell2
4081.7,800.819,865.445,Cell2
4081.8,888.53,892.413,Cell2
4081.9,978.945,919.456,Cell2
4082,1072.065,947.201,Cell2
4082.1,1168,975.762,Cell2
4082.2,1266.834,1005.422,Cell2
4082.3,1368.754,1038.715,Cell2
4082.4,1474.299,1078.168,Cell2
4082.5,1583.974,1122.326,Cell2
4082.6,1698.378,1174.003,Cell2
4082.7,1818.366,1234.69,Cell2
4082.8,1944.765,1307.698,Cell2
4082.9,2079.213,1395.979,Cell2
4083,2223.12,1503.853,Cell2
4083.1,2378.796,1634.035,Cell2
4083.2,2548.688,1789.486,Cell2
4083.3,2735.027,1971.24,Cell2
4083.4,2940.81,2182.047,Cell2
4083.5,3168.881,2417.942,Cell2
4083.6,3421.404,2669.5,Cell2
4083.7,3699.552,2924.33,Cell2
4083.8,4003.322,3174.348,Cell2
4083.9,4331.954,3410.221,Cell2
4084,4683.632,3626.579,Cell2
4084.1,5056.235,3818.229,Cell2
4084.2,5447.158,3984.212,Cell2
4084.3,5853.708,4125.876,Cell2
4084.4,6273.526,4246.251,Cell2
4084.5,6704.591,4349.411,Cell2
4084.6,7145.291,4437.806,Cell2
4084.7,7594.44,4512.185,Cell2
4084.8,8049.695,4572.873,Cell2
4084.9,8510.95,4621.356,Cell2
4085,8975.963,4660.164,Cell2
4085.1,9444.632,4690.692,Cell2
4085.2,9916.1,4714.894,Cell2
4085.3,10389.423,4734.23,Cell2
4085.4,10864.41,4749.787,Cell2
4085.5,11340.697,4762.282,Cell2
4085.6,11818.024,4772.183,Cell2
4085.7,12296.169,4780.144,Cell2
4085.8,12774.946,4786.647,Cell2
4085.9,13254.253,4792.117,Cell2
4086,13734.017,4796.714,Cell2
4086.1,14214.148,4800.556,Cell2
4086.2,14694.585,4803.863,Cell2
4086.3,15175.304,4806.853,Cell2
4086.4,15656.275,4809.531,Cell2
4086.5,16137.473,4811.919,Cell2
4086.6,16618.874,4814.047,Cell2
4086.7,17100.469,4816.013,Cell2
4086.8,17582.217,4817.853,Cell2
4086.9,18064.155,4819.595,Cell2
4087,18546.23,4821.233,Cell2
4087.1,19028.478,4822.832,Cell2
4087.2,19510.889,4824.402,Cell2
4087.3,19993.438,4825.989,Cell2
4087.4,20476.17,4827.624,Cell2
4087.5,20959.052,4829.28,Cell2
4087.6,21442.108,4830.973,Cell2
4087.7,21925.336,4832.708,Cell2
4087.8,22408.741,4834.44,Cell2
4087.9,22892.325,4836.124,Cell2
4088,23376.078,4837.846,Cell2
4088.1,23860.013,4839.652,Cell2
4088.2,24344.134,4841.435,Cell2
4088.3,24828.424,4843.048,Cell2
4088.4,25312.863,4844.523,Cell2
4088.5,25797.439,4845.923,Cell2
4088.6,26282.142,4847.208,Cell2
4088.7,26766.961,4848.337,Cell2
4088.8,27251.879,4849.357,Cell2
4088.9,27736.89,4850.227,Cell2
4089,28221.968,4850.977,Cell2
4089.1,28707.119,4851.626,Cell2
4089.2,29192.33,4852.175,Cell2
4089.3,29677.584,4852.652,Cell2
4089.4,30162.887,4853.039,Cell2
4089.5,30648.219,4853.365,Cell2
4089.6,31133.58,4853.645,Cell2
4089.7,31618.964,4853.873,Cell2
4089.8,32104.369,4854.069,Cell2
4089.9,32589.789,4854.22,Cell2
4090,33075.223,4854.357,Cell2
4073,0,0,Cell3
4073.1,0.02,0.11,Cell3
4073.2,0.03,0.13,Cell3
4073.3,0.05,0.17,Cell3
4073.4,0.07,0.23,Cell3
4073.5,0.09,0.29,Cell3
4073.6,0.12,0.35,Cell3
4073.7,0.16,0.41,Cell3
4073.8,0.2,0.49,Cell3
4073.9,0.26,0.58,Cell3
4074,0.32,0.69,Cell3
4074.1,0.39,0.82,Cell3
4074.2,0.48,0.99,Cell3
4074.3,0.59,1.23,Cell3
4074.4,0.72,1.54,Cell3
4074.5,0.89,1.89,Cell3
4074.6,1.09,2.24,Cell3
4074.7,1.32,2.6,Cell3
4074.8,1.59,2.96,Cell3
4074.9,1.89,3.34,Cell3
4075,2.24,3.75,Cell3
4075.1,2.62,4.18,Cell3
4075.2,3.05,4.66,Cell3
4075.3,3.53,5.16,Cell3
4075.4,4.05,5.69,Cell3
4075.5,4.63,6.23,Cell3
4075.6,5.27,6.75,Cell3
4075.7,5.95,7.28,Cell3
4075.8,6.69,7.8,Cell3
4075.9,7.48,8.31,Cell3
4076,8.32,8.83,Cell3
4076.1,9.21,9.37,Cell3
4076.2,10.15,9.94,Cell3
4076.3,11.16,10.54,Cell3
4076.4,12.23,11.16,Cell3
4076.5,13.36,11.79,Cell3
4076.6,14.56,12.42,Cell3
4076.7,15.82,13.06,Cell3
4076.8,17.14,13.67,Cell3
4076.9,18.52,14.23,Cell3
4077,19.96,14.76,Cell3
4077.1,21.45,15.28,Cell3
4077.2,22.99,15.79,Cell3
4077.3,24.59,16.32,Cell3
4077.4,26.24,16.91,Cell3
4077.5,27.96,17.72,Cell3
4077.6,29.79,19.29,Cell3
4077.7,31.83,22.45,Cell3
4077.8,34.3,28.37,Cell3
4077.9,37.58,40,Cell3
4078,42.3,56.65,Cell3
4078.1,48.82,75.73,Cell3
4078.2,57.47,99.99,Cell3
4078.3,68.82,130.31,Cell3
4078.4,83.58,167.54,Cell3
4078.5,102.16,205.59,Cell3
4078.6,124.49,239.85,Cell3
4078.7,150.23,273.39,Cell3
4078.8,179.29,309.44,Cell3
4078.9,212.16,348.04,Cell3
4079,249.07,391.9,Cell3
4079.1,290.6,441.19,Cell3
4079.2,337.37,497.9,Cell3
4079.3,390,557.69,Cell3
4079.4,448.7,617.72,Cell3
4079.5,513.35,676.16,Cell3
4079.6,583.86,735.24,Cell3
4079.7,660.34,794.99,Cell3
4079.8,742.83,856.2,Cell3
4079.9,831.53,918.47,Cell3
4080,926.45,978.64,Cell3
4080.1,1027.19,1032.51,Cell3
4080.2,1132.94,1077.26,Cell3
4080.3,1242.76,1114.67,Cell3
4080.4,1355.97,1145.12,Cell3
4080.5,1471.88,1169.66,Cell3
4080.6,1589.96,1189.39,Cell3
4080.7,1709.85,1205.75,Cell3
4080.8,1831.11,1218.67,Cell3
4080.9,1953.59,1229.51,Cell3
4081,2077.04,1240.73,Cell3
4081.1,2201.7,1253.67,Cell3
4081.2,2327.69,1267.98,Cell3
4081.3,2455.13,1282.61,Cell3
4081.4,2584.03,1296.93,Cell3
4081.5,2714.38,1311.54,Cell3
4081.6,2846.24,1327.8,Cell3
4081.7,2979.82,1346.26,Cell3
4081.8,3115.33,1367.45,Cell3
4081.9,3253.09,1391.02,Cell3
4082,3393.28,1416.66,Cell3
4082.1,3536.15,1444.6,Cell3
4082.2,3681.91,1474.26,Cell3
4082.3,3830.7,1504.37,Cell3
4082.4,3982.5,1533.66,Cell3
4082.5,4137.19,1561.29,Cell3
4082.6,4294.58,1587.09,Cell3
4082.7,4454.54,1611.01,Cell3
4082.8,4616.68,1633.29,Cell3
4082.9,4781.12,1654.35,Cell3
4083,4947.53,1674.46,Cell3
4083.1,5115.98,1693.75,Cell3
4083.2,5286.39,1712.22,Cell3
4083.3,5458.56,1729.55,Cell3
4083.4,5632.44,1745.71,Cell3
4083.5,5807.87,1760.36,Cell3
4083.6,5984.71,1773.47,Cell3
4083.7,6162.81,1784.97,Cell3
4083.8,6341.97,1794.98,Cell3
4083.9,6522.07,1803.54,Cell3
4084,6702.94,1810.79,Cell3
4084.1,6884.47,1816.97,Cell3
4084.2,7066.57,1822.16,Cell3
4084.3,7249.13,1826.46,Cell3
4084.4,7432.06,1830.07,Cell3
4084.5,7615.32,1833.15,Cell3
4084.6,7798.85,1835.78,Cell3
4084.7,7982.62,1838.01,Cell3
4084.8,8166.57,1839.97,Cell3
4084.9,8350.71,1841.71,Cell3
4085,8534.99,1843.3,Cell3
4085.1,8719.43,1844.81,Cell3
4085.2,8904.02,1846.22,Cell3
4085.3,9088.74,1847.53,Cell3
4085.4,9273.57,1848.73,Cell3
4085.5,9458.52,1849.83,Cell3
4085.6,9643.57,1850.82,Cell3
4085.7,9828.72,1851.75,Cell3
4085.8,10013.96,1852.6,Cell3
4085.9,10199.27,1853.38,Cell3
4086,10384.66,1854.07,Cell3
4086.1,10570.11,1854.71,Cell3
4086.2,10755.63,1855.29,Cell3
4086.3,10941.2,1855.83,Cell3
4086.4,11126.82,1856.33,Cell3
4086.5,11312.49,1856.8,Cell3
4086.6,11498.2,1857.23,Cell3
4086.7,11683.96,1857.62,Cell3
4086.8,11869.75,1858,Cell3
4086.9,12055.58,1858.35,Cell3
4087,12241.44,1858.66,Cell3
4087.1,12427.32,1858.93,Cell3
4087.2,12613.24,1859.17,Cell3
4087.3,12799.17,1859.41,Cell3
4087.4,12985.13,1859.63,Cell3
4087.5,13171.11,1859.82,Cell3
4087.6,13357.1,1859.98,Cell3
4087.7,13543.11,1860.14,Cell3
4087.8,13729.14,1860.3,Cell3
4087.9,13915.18,1860.44,Cell3
4088,14101.23,1860.56,Cell3
4088.1,14287.3,1860.67,Cell3
4088.2,14473.37,1860.77,Cell3
4088.3,14659.46,1860.84,Cell3
4088.4,14845.54,1860.91,Cell3
4088.5,15031.64,1860.97,Cell3
4088.6,15217.74,1861.02,Cell3
4088.7,15403.85,1861.07,Cell3
4088.8,15589.96,1861.11,Cell3
4088.9,15776.07,1861.15,Cell3
4089,15962.19,1861.18,Cell3
4089.1,16148.31,1861.22,Cell3
4089.2,16334.44,1861.25,Cell3
4089.3,16520.56,1861.28,Cell3
4089.4,16706.69,1861.31,Cell3
4089.5,16892.83,1861.34,Cell3
4089.6,17078.96,1861.35,Cell3
4089.7,17265.1,1861.37,Cell3
4089.8,17451.24,1861.38,Cell3
4089.9,17637.38,1861.39,Cell3
4090,17823.52,1861.39,Cell3
4075,0,0,Cell4A
4075.1,0.21,0.69,Cell4A
4075.2,0.28,0.83,Cell4A
4075.3,0.37,1.05,Cell4A
4075.4,0.48,1.27,Cell4A
4075.5,0.61,1.46,Cell4A
4075.6,0.76,1.65,Cell4A
4075.7,0.94,1.85,Cell4A
4075.8,1.13,2.08,Cell4A
4075.9,1.34,2.33,Cell4A
4076,1.58,2.59,Cell4A
4076.1,1.85,2.87,Cell4A
4076.2,2.14,3.19,Cell4A
4076.3,2.47,3.55,Cell4A
4076.4,2.84,3.92,Cell4A
4076.5,3.24,4.33,Cell4A
4076.6,3.69,4.79,Cell4A
4076.7,4.19,5.29,Cell4A
4076.8,4.74,5.8,Cell4A
4076.9,5.34,6.29,Cell4A
4077,5.98,6.77,Cell4A
4077.1,6.67,7.25,Cell4A
4077.2,7.41,7.71,Cell4A
4077.3,8.2,8.16,Cell4A
4077.4,9.03,8.59,Cell4A
4077.5,9.91,9.02,Cell4A
4077.6,10.82,9.43,Cell4A
4077.7,11.77,9.83,Cell4A
4077.8,12.77,10.22,Cell4A
4077.9,13.81,10.62,Cell4A
4078,14.88,11.02,Cell4A
4078.1,16,11.44,Cell4A
4078.2,17.16,11.92,Cell4A
4078.3,18.37,12.46,Cell4A
4078.4,19.63,12.98,Cell4A
4078.5,20.95,13.47,Cell4A
4078.6,22.31,13.91,Cell4A
4078.7,23.72,14.35,Cell4A
4078.8,25.17,14.82,Cell4A
4078.9,26.67,15.32,Cell4A
4079,28.22,15.85,Cell4A
4079.1,29.82,16.38,Cell4A
4079.2,31.48,16.94,Cell4A
4079.3,33.19,17.56,Cell4A
4079.4,34.97,18.22,Cell4A
4079.5,36.82,18.96,Cell4A
4079.6,38.75,20.03,Cell4A
4079.7,40.85,22.94,Cell4A
4079.8,43.41,29.8,Cell4A
4079.9,46.86,40.9,Cell4A
4080,51.63,56.5,Cell4A
4080.1,58.15,76.53,Cell4A
4080.2,67.03,104.84,Cell4A
4080.3,79.17,141.27,Cell4A
4080.4,95.24,183.24,Cell4A
4080.5,115.87,233.5,Cell4A
4080.6,141.88,290.82,Cell4A
4080.7,174,353.14,Cell4A
4080.8,212.37,417.72,Cell4A
4080.9,257.47,484.37,Cell4A
4081,309.08,551.11,Cell4A
4081.1,367.45,616.25,Cell4A
4081.2,432.32,684.35,Cell4A
4081.3,504.13,753.53,Cell4A
4081.4,582.73,817.97,Cell4A
4081.5,667.53,876.76,Cell4A
4081.6,758,930.86,Cell4A
4081.7,853.62,980.23,Cell4A
4081.8,953.91,1025.85,Cell4A
4081.9,1058.63,1068.29,Cell4A
4082,1167.41,1107.13,Cell4A
4082.1,1279.95,1144.08,Cell4A
4082.2,1396.16,1180.14,Cell4A
4082.3,1515.88,1213.88,Cell4A
4082.4,1638.86,1244.02,Cell4A
4082.5,1764.67,1270.16,Cell4A
4082.6,1892.93,1292.82,Cell4A
4082.7,2023.36,1312.12,Cell4A
4082.8,2155.46,1328.5,Cell4A
4082.9,2289.18,1342.77,Cell4A
4083,2424.13,1355.02,Cell4A
4083.1,2560.27,1365.49,Cell4A
4083.2,2697.4,1374.46,Cell4A
4083.3,2835.32,1382.18,Cell4A
4083.4,2973.95,1388.89,Cell4A
4083.5,3113.21,1394.68,Cell4A
4083.6,3253,1399.67,Cell4A
4083.7,3393.24,1403.97,Cell4A
4083.8,3533.89,1407.75,Cell4A
4083.9,3674.89,1411.01,Cell4A
4084,3816.18,1413.87,Cell4A
4084.1,3957.74,1416.25,Cell4A
4084.2,4099.5,1418.27,Cell4A
4084.3,4241.45,1419.99,Cell4A
4084.4,4383.56,1421.49,Cell4A
4084.5,4525.8,1422.82,Cell4A
4084.6,4668.16,1424.05,Cell4A
4084.7,4810.65,1425.18,Cell4A
4084.8,4953.24,1426.23,Cell4A
4084.9,5095.93,1427.19,Cell4A
4085,5238.71,1428.09,Cell4A
4085.1,5381.58,1428.97,Cell4A
4085.2,5524.54,1429.88,Cell4A
4085.3,5667.58,1430.78,Cell4A
4085.4,5810.71,1431.64,Cell4A
4085.5,5953.92,1432.45,Cell4A
4085.6,6097.21,1433.23,Cell4A
4085.7,6240.58,1434,Cell4A
4085.8,6384.03,1434.73,Cell4A
4085.9,6527.55,1435.43,Cell4A
4086,6671.13,1436.08,Cell4A
4086.1,6814.78,1436.66,Cell4A
4086.2,6958.48,1437.22,Cell4A
4086.3,7102.24,1437.76,Cell4A
4086.4,7246.05,1438.28,Cell4A
4086.5,7389.91,1438.8,Cell4A
4086.6,7533.83,1439.35,Cell4A
4086.7,7677.81,1439.89,Cell4A
4086.8,7821.83,1440.38,Cell4A
4086.9,7965.9,1440.84,Cell4A
4087,8110.02,1441.28,Cell4A
4087.1,8254.18,1441.72,Cell4A
4087.2,8398.38,1442.12,Cell4A
4087.3,8542.62,1442.44,Cell4A
4087.4,8686.88,1442.7,Cell4A
4087.5,8831.17,1442.95,Cell4A
4087.6,8975.48,1443.15,Cell4A
4087.7,9119.81,1443.34,Cell4A
4087.8,9264.15,1443.49,Cell4A
4087.9,9408.51,1443.63,Cell4A
4088,9552.88,1443.73,Cell4A
4088.1,9697.26,1443.82,Cell4A
4088.2,9841.65,1443.89,Cell4A
4088.3,9986.04,1443.96,Cell4A
4088.4,10130.44,1444.01,Cell4A
4088.5,10274.85,1444.06,Cell4A
4088.6,10419.26,1444.1,Cell4A
4088.7,10563.67,1444.14,Cell4A
4088.8,10708.09,1444.16,Cell4A
4088.9,10852.5,1444.18,Cell4A
4089,10996.92,1444.2,Cell4A
4089.1,11141.35,1444.21,Cell4A
4089.2,11285.77,1444.22,Cell4A
4089.3,11430.19,1444.22,Cell4A
4089.4,11574.61,1444.23,Cell4A
4089.5,11719.04,1444.23,Cell4A
4089.6,11863.46,1444.23,Cell4A
4089.7,12007.88,1444.23,Cell4A
4089.8,12152.3,1444.23,Cell4A
4089.9,12296.73,1444.23,Cell4A
4090,12441.15,1444.23,Cell4A
Cell4B,,,
Elev,Cap,Area,
4075,0,0,Cell4B
4075.1,0.051,0.237,Cell4B
4075.2,0.077,0.312,Cell4B
4075.3,0.109,0.383,Cell4B
4075.4,0.15,0.456,Cell4B
4075.5,0.196,0.533,Cell4B
4075.6,0.251,0.616,Cell4B
4075.7,0.314,0.703,Cell4B
4075.8,0.387,0.798,Cell4B
4075.9,0.468,0.903,Cell4B
4076,0.56,1.011,Cell4B
4076.1,0.664,1.138,Cell4B
4076.2,0.78,1.274,Cell4B
4076.3,0.911,1.419,Cell4B
4076.4,1.057,1.576,Cell4B
4076.5,1.217,1.736,Cell4B
4076.6,1.394,1.9,Cell4B
4076.7,1.589,2.066,Cell4B
4076.8,1.8,2.238,Cell4B
4076.9,2.029,2.412,Cell4B
4077,2.273,2.581,Cell4B
4077.1,2.535,2.747,Cell4B
4077.2,2.811,2.914,Cell4B
4077.3,3.104,3.081,Cell4B
4077.4,3.415,3.252,Cell4B
4077.5,3.742,3.424,Cell4B
4077.6,4.086,3.6,Cell4B
4077.7,4.448,3.78,Cell4B
4077.8,4.827,3.965,Cell4B
4077.9,5.225,4.157,Cell4B
4078,5.641,4.359,Cell4B
4078.1,6.075,4.572,Cell4B
4078.2,6.534,4.788,Cell4B
4078.3,7.014,5.01,Cell4B
4078.4,7.519,5.249,Cell4B
4078.5,8.05,5.556,Cell4B
4078.6,8.62,6.125,Cell4B
4078.7,9.279,7.455,Cell4B
